word,freq
헝가리,1
공장,7
건설,13
억,17
투입,5
증평,1
서산,1
설비,3
증설,1
이노베이션,2
국내외,3
전기차,3
배터리,2
사업,45
조원,5
투자,20
세계,29
대중화,1
시대,11
가시,1
가운데,20
먹거리,2
시장,31
선점,1
생산,10
데,24
억원,25
국내,27
충북,4
충남,4
일,228
김준,1
사장,18
날,52
안,48
것,285
혁신,14
딥,1
체인지,1
의,19
경영,12
방침,8
실행,2
지속,9
수,180
구조,15
도이치,1
뱅크,2
리튬이온,1
수요,8
지난해,25
에서,10
년,205
배,16
이상,32
전망,12
이,146
목표,9
한해,2
기가와트시,1
규모,19
또,36
핵심,10
소재,6
분리,2
막,4
분야,16
위인,1
일본,25
아사히,1
전략,13
능력,10
로,18
올린다,1
중국,46
관계,15
해빙,1
모드,2
업계,7
그동안,8
수출,9
길,11
재개,2
정부,72
올해,32
차례,10
보조금,1
지급,5
차량,12
목록,1
발표,9
화학,2
삼성,15
등,239
업체,20
탑재,3
모두,26
제외,3
제재,8
